file,participant,condition,conflict_text,p_right,t_right,perceived_pt,age,gender,race,race_other
1a,5,control,"A friend was dating a girl.  The girl wasn't sure if she wanted to say with my friend.  She wanted to break up but liked being ""taken care of"".  She felt I should tell my friend that she wanted to break it off. I stated that I would not.  I stated this was her job.  Another friend knew of this story, shared the news with my first friend.  Both friends were angry with me.  Both friends stopped talking to me for over a year.",4,4,2,44,female,"Some other ethnicity or origin, please specify:",Asian/Caucasian
1a,7,control,A memorable conflict was with a blood related family member years ago.  I am not one for conflict so this is from a long time ago.  Said member was a sibling and they are older than me by 6 years.  When I would go to visit them they always wanted me to bring or buy something for me along the way.  This became a burden. It felt as though they did not want me around unless I gave them something.  When I brought this to their attention they denied it.  I stopped visiting them.  They got mad I stopped bringing things and did not want to see me.  I have not spoken to them in years now.,6,2,4,31,female,White,
1a,11,control,"I worked for someone whose priorities were completely different then mine. One time(of many) he wanted the crews to come in on the weekend to finish up a job so that we could get the paperwork finished up. when he made this decision it was over the phone and he was slurring his words from drinking so much. I called in the crews and told them to come in on Saturday. There was no need for them to come in. He believed that there needed to be an update sent out by monday afternoon but he did not know( i don't know why either) that the update for the work was due on the following thursday. So the crews came in for nothing. When i was at the site i went and typed up an email addressing why i thought his decision was wrong, how he wasn't in the right mindset to make the decision, that there was an alternate option and it would have produced the same thing without damaging his and my credibility to the crews. He got the email and wanted to sit down and talk. When we sat down he began quoting what i had written out of context to make me seem like i should have sought out his wisdom. I asked him to find in the email exactly where i gave him the impression i didn't know what i was doing. he then informed me he will find it, but he wasn't a quick reader and it might take a while. so i sat there quietly after work waiting for my boss to slowly read through the email until he gave up and compromised maybe it wasn't exactly as he remembered.",6,2,1,27,male,White,
1a,22,control,I recently had an argument with my mother about the lack of support I got from all three parents growing up. I told her I hated birthdays growing up because they always were split up unlike my step siblings who had their whole family at their parties. I confronted her on her and my step mom constantly placing me in the middle of their arguments and bickering and she stated she had no recollection of ever doing such a thing. She then went on to say she gave up so much for me that I don't even know about. She repeatedly denied any negative actions on her part and talked about how it affected her. At that point I got angry and called her out and said none of them had ever stopped to ask me how I was doing during it all or how I was handling things. I ended up telling her I was getting off the phone because I had homework I needed to submit before midnight.,6,2,2,24,female,White,
1a,25,control,"I had a friend who I considered one of my closest friends. We knew each other for over 3 years and have been through a lot together. Recently, she just randomly ghosted me and stopped talking to me. I tried to reach out to her multiple times but she's ignored all my calls and messages. It's been a few months now.",6,1,3,24,female,White,
1a,26,control,"I don't usually have too many conflicts with people. I try to stay positive and loving towards everyone. But there was this guy that I played soccer with. He and I started as friends. However, perhaps he got jealous of me, or I got jealous of him and we started a large argument. This argument lasted a long time and stemmed from a girl that we were both interested in. Now the conflict has been resolved. However, we got into a couple fights, and some nasty things were said to each other.",1,1,3,23,male,White,
1a,32,control,"The year before last year, I go to Japan with my friend. In the middle of trip, we start to argue my opinion if it is right or in reason. I foucus on argument and completely forget to eat until the night. After this argue,I still feel very angry for my friend. I still keep the emotion in the trip and feel every small action she did is wrong. So for next night I cannnot stand and call my mother to talk with these things. My friend heard that and we start another argue. Even I had a thought that I want to leave her now and in next part of trip we divide. She cried and I feel it not real for me.It like I see another person who I did't know.",3,4,2,23,female,asian,
1a,33,control,"One time I got into a heated argument with my co-worker. I was done with my shift and ready to leave when he called me out for making a mistake. However, he said it in front of my other coworkers and I was extremely embarrassed. I thought he was so inconsiderate for not having a decency to not make a huge scene. So I raised my voice and called him out for being a smart-ass and always trying to prove that he's the best at everything when in fact he's not. The argument went back and forth and it was really pointless. I decided to stop talking and left because I did know when we would actually stop arguing. It was not fun and I really feel uncomfortable thinking about it every-time because I acted so unprofessional.",1,3,1,23,female,asian,
1a,39,control,"My brother and I have always had a rocky relationship, and we got in a lot of fights as children. When I was in elementary school, I used to be a big fan of model boats. I built dozens of them, and would spend hours putting them together. One day after school, my brother (who was 4 years older than me) was upset at something that happened at school. Naturally, being the little brother that I was, thought it was funny to provoke him and make him more angry. However I pushed him just quite too far and sent him into a rage. He through a model I had a been working on across the room and shattered it, then went up to his own room. I started crying and told my parents, who talked to him about it. He soon apologized for throwing the model but I did not forgive him as I knew he was just saying that because our parents told him to. We still have a rocky relationship to this day, but it has gotten better. This is just one of many instances I remember of us clashing heads.",4,3,4,22,male,White,
1a,45,control,"I have had conflict with my roommate because we have different social boundaries. She is a part of a sorority. She likes to have her sorority sisters over. They are loud, drink more than I do. I generally I feel that our values do not align although I believe they are all fine and good people. There was conflict when my other roommates and I asked her to give us warning before they come to our house. After this short and calm discussion she was very mad. She did not communicate her anger, but did ignore be for 2 weeks and made no effort to talk to be outside of necessary communication. She basically gave me the silent treatment. Eventually we worked through it, but it still hurt me and changed how comfortable I feel with her.",6,3,3,22,female,White,
1a,61,control,"I got into an argument with my ex-boyfriend about his cheating. I had found out that he was using a dating app while we were together and I confronted him with screenshots. My girlfriend had shown me screenshots he found of his profile a couple hours earlier. When he got home from work, I showed him the picture and asked him what he was doing on a dating app still. He denied it was him until I pointed out that the pictures were taken recently and weren't posted anywhere else. He then confessed, started making excuses for why he had the account, and begged me to believe that he was not using the app for meeting people. He claimed that the app was his way of making professional connections. I didn't believe him, because no one uses a dating app for that purpose. I cussed him out and left after that.",7,1,2,21,female,asian,
1a,62,control,"A conflict I have had with a friend in the past had been after a night of drinking. My friend( significantly more intoxicated than I was) was in the heat of the moment and would not stop ranting about a vlogger on youtube. When I was finally fed up with the drunken rant, I tried to argue the point he was making in hopes he would let it go, however this led him to turn the topic of his rant on me  and continued to tell me how I was a bad friend and all the things I had done wrong. Since I was already fed up with his previous rant I opted to leave because I would not take this unnecessary spite. As I was getting my shoes on to leave my friend continued to slander and insult me saying ""you said you were going to leave so get out!"" I calmly said I had to put on my shoes. As this continued in the time it took me to put on my shoes I got angry and said something to this friend that I knew would hit very close to home, and it did. After I said this, he charged me with his fist clinched. Luckily another friend was there to break it up, however I never reacted or intended to fight him in the first place.",6,1,6,21,male,White,
1a,65,control,I was in Puerto Rico with my girlfriend. It was late at night and I went on a short bike ride to drop something off nearby. I encountered a friend and walked and talked for a second. Because I took a little long my girlfiend decided I was cheating. We argued for about an hour outside our airbnb. She had the keys. Eventually she maced me. We still didn't go inside. I eventually took the keys from her cuz the mace hurt so bad I had to shower. Then I showered and cried cuz it hurt so bad. That made her feel bad  so she stopped being crazy.,7,1,3,21,male,White,
1a,68,control,"I grew up in a religious, conservative household in Oklahoma. Over time I grew further and further from these values, especially after the age of 16. Sometime between the age of 16 and 17 my mother confronted me regarding my religious views. I chose to be honest, and was originally not believed. I was told it was a faze. As time went on and I remained adamant, arguments on the topic increased. Eventually it created an increasingly tense household environment. More stringent rules were placed on me due to distrust resulting from the arguments. I refused to abide by these rules and was eventually kicked out of my home.",6,2,1,21,male,White,
1a,73,control,"Its hard to recall. I'm not a very confrontational person unless I'm coming to someone else's defense, this mainly happens if I see someone being treated unfairly. Thus I come to their defense without being asked or prompted.",5,3,1,21,female,White,
1a,74,control,The common conflict of siblings fighting over the tv is a conflict I have been a part of. In this conflict everyone believes they deserve it. The video game systems always take over the largest tv in the house. So my brothers believe they can have it because the system in set up there. Though we can to a solution that the video game system be moved into his room.,5,4,5,21,female,White,
1a,76,control,A conflict I have had would be with my brother. When we were younger we would argue over who gets to watch the tv in the living room. He would take the remote and then I would try and grab it from him. As soon as I would get it he would grab it back. We would yell at each other in hopes of the other person giving in. Eventually we would start hitting each other and fighting to get the remote back. Mostly just taking the remote back and forth and arguing. This conflict usually wouldn't last very long. Eventually our mom would tell us to stop and resolve the conflict. This would happen a lot when we were younger and a lot less when we got older.,4,4,1,21,female,White,
1a,81,control,"We didnt want to go shopping with a group of friends. And we were all arguing about it, then we all stopped talking to one another. And then we all separated to different areas of the mall. They went shopping in one stop and the rest of the group hung out in another. We all got lunch together and we asked if they wanted to hang out in a store by the mall cause they were done shopping and they said no. They called the store we wanted to go to dumb and that we were suppose to go with them to a different part of the store. After that the group started to argue and get mad at one another. Insults were said and people were being rude and insulting to one another. And then it ended with one group flipping the other off and driving off.",4,4,4,21,male,asian,
1a,85,control,"I have had an ongoing conflict with my father since I was young. My father was a valedictorian from high school graduation straight to when he graduated with a PhD. He doesn't seem to understand that school isn't as easy for other people as it was for him. My sister is like my father and she graduated college after only 3 years. Meanwhile I am in my fourth year and approximately halfway finished with school. My dad sees me work on schoolwork and studying for the majority of every single day and I try very hard but somehow my grades don't reflect the effort that I put in. I tell him that I'm just not cut out for school, I mean I barely graduated high school, but he doesn't want to let me drop out. He sees school as the only option and he is disappointed in me every single day because of my grades. This back and fourth between my father and I about my grades has caused a huge strain not only in our relationship but in the relationship of every single family member and lots of times I feel like one day the family is all going to split up and it's all because I'm not good enough for them.",1,1,7,21,male,"hispanic, latinx, or spanish origin",
1a,88,control,"I had an ongoing conflict with my good friend a few years ago. It lasted a couple of months, at least. I ended up sleeping with his ex-girlfriend who had been single for over a year at this point. He was still very tied up about her, so it certainly bothered him when he found out. I apologized, not knowing that it would bother him so much, but he continued to hold a grudge, which I found childish. I concluded that if he didn't want to talk to me and it was that big of a deal to him, then I would wait for him to get over it. He retaliated by hooking up with my ex-girlfriend, which at that point I had emotionally moved on. I found that move extremely petty and decided that a person of that character didn't need to be in my circle. Eventually, I got over it, as did he. We laugh about it to this day.",6,2,2,21,male,black or african american,
1a,90,control,"My best friend since high school was pregnant while her husband was deployed. We talked every day and I supported her through her whole pregnancy. I flew out to see her during her due date but the baby was born after I left. Her husband did not come back until 3 months after the baby was born, and we were still talking everyday even though she had a newborn. When her husband came back she stopped wanting to talk to me all the time and I was understanding of that. I had gone through some stuff on my own while she was dealing with the changes in her life. Finally we start to talk again but I am reserved because I went through some changes too but this made her upset. She got upset with me for asking too much of her when I would constantly tell her that I was fine and I understand her situation. Eventually I got upset because it felt like I was put on the back burner even though I tried to be as understanding of her as possible.",6,2,3,21,female,"Some other ethnicity or origin, please specify:",mixed. African American and Hispanic
1a,91,control,"I had a conflict with my mom. I was in high school. She was not acting appropriate and was not healthy mentally or physically. This time was very hard. My whole family was involved. I had to move in with my grandma then my aunt, mandated by the courts. It changed my whole life and I still think about it today. I am a different person because of it. It forces me to be better for myself. I am glad it happened, but it changed me and my family.",6,2,3,21,female,White,
