file,participant,condition,conflict_text,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
1a,5,control,"A friend was dating a girl.  The girl wasn't sure if she wanted to say with my friend.  She wanted to break up but liked being ""taken care of"".  She felt I should tell my friend that she wanted to break it off. I stated that I would not.  I stated this was her job.  Another friend knew of this story, shared the news with my first friend.  Both friends were angry with me.  Both friends stopped talking to me for over a year.",84,64.03,72.41,30.01,87.2,9.33,5.95,96.43,57.14,23.81,16.67,10.71,0,0,5.95,0,7.14,5.95,15.48,8.33,0,2.38,2.38,23.81,1.19,0,0,1.19,3.57,5.95,4.76,1.19,0,1.19,0,23.81,0,8.33,8.33,0,14.29,2.38,0,7.14,1.19,1.19,4.76,2.38,0,1.19,1.19,0,0,0,0,0,16.67,10.71,1.19,2.38,1.19,1.19,15.48,3.57,0,13.1,0,5.95,4.76,1.19,0,0,0,0,0,0,0,0,0,0,0,15.48,10.71,1.19,0,0,0,0,0,2.38,1.19,0,0
1a,7,control,A memorable conflict was with a blood related family member years ago.  I am not one for conflict so this is from a long time ago.  Said member was a sibling and they are older than me by 6 years.  When I would go to visit them they always wanted me to bring or buy something for me along the way.  This became a burden. It felt as though they did not want me around unless I gave them something.  When I brought this to their attention they denied it.  I stopped visiting them.  They got mad I stopped bringing things and did not want to see me.  I have not spoken to them in years now.,117,23.17,36.62,99,6.64,11.7,11.11,97.44,62.39,25.64,18.8,10.26,0,0,0,8.55,6.84,5.13,13.68,7.69,5.13,7.69,3.42,23.93,2.56,2.56,1.71,1.71,0,1.71,0,1.71,0,0.85,0,17.09,1.71,0,0,0,17.09,4.27,0,3.42,2.56,0.85,6.84,3.42,0.85,1.71,0.85,0.85,0.85,0,0,0,6.84,3.42,0,0.85,0.85,1.71,14.53,8.55,0,19.66,5.13,3.42,11.11,0,0.85,0.85,0.85,0,0,0,0,0,0,0,0,8.55,8.55,0,0,0,0,0,0,0,0,0,0
1a,11,control,"I worked for someone whose priorities were completely different then mine. One time(of many) he wanted the crews to come in on the weekend to finish up a job so that we could get the paperwork finished up. when he made this decision it was over the phone and he was slurring his words from drinking so much. I called in the crews and told them to come in on Saturday. There was no need for them to come in. He believed that there needed to be an update sent out by monday afternoon but he did not know( i don't know why either) that the update for the work was due on the following thursday. So the crews came in for nothing. When i was at the site i went and typed up an email addressing why i thought his decision was wrong, how he wasn't in the right mindset to make the decision, that there was an alternate option and it would have produced the same thing without damaging his and my credibility to the crews. He got the email and wanted to sit down and talk. When we sat down he began quoting what i had written out of context to make me seem like i should have sought out his wisdom. I asked him to find in the email exactly where i gave him the impression i didn't know what i was doing. he then informed me he will find it, but he wasn't a quick reader and it might take a while. so i sat there quietly after work waiting for my boss to slowly read through the email until he gave up and compromised maybe it wasn't exactly as he remembered.",288,49.05,55.52,76.56,25.77,22.15,13.19,95.14,64.58,19.44,14.24,6.25,0.69,0,6.6,0.69,5.21,8.33,16.32,8.68,5.9,8.33,3.12,23.61,2.08,2.08,3.47,0.35,1.04,1.39,0.69,0.69,0,0,0,13.54,0,0,0,6.6,16.32,5.21,2.43,2.43,1.74,1.39,3.47,1.04,0.35,0.69,0,0.35,0,0,0,0.35,6.25,1.04,1.04,2.78,1.04,0.35,13.54,7.64,1.39,19.44,2.78,8.68,8.33,3.47,0.69,0,0,0,0,0,0,0,0,0,0,8.68,4.51,1.04,0,0,0,0,0,0,1.74,1.39,0
1a,22,control,I recently had an argument with my mother about the lack of support I got from all three parents growing up. I told her I hated birthdays growing up because they always were split up unlike my step siblings who had their whole family at their parties. I confronted her on her and my step mom constantly placing me in the middle of their arguments and bickering and she stated she had no recollection of ever doing such a thing. She then went on to say she gave up so much for me that I don't even know about. She repeatedly denied any negative actions on her part and talked about how it affected her. At that point I got angry and called her out and said none of them had ever stopped to ask me how I was doing during it all or how I was handling things. I ended up telling her I was getting off the phone because I had homework I needed to submit before midnight.,170,24.86,70.19,81.91,6.29,24.29,15.88,97.65,65.29,25.29,21.18,11.18,0,0,7.06,2.94,4.12,2.94,17.06,7.06,7.06,8.24,2.35,21.76,2.35,1.76,2.35,0.59,4.12,4.12,1.18,2.94,0,2.94,0,20.59,2.94,0,8.24,0,11.18,1.18,3.53,1.18,1.18,2.94,1.76,1.76,0,1.76,0,0,0,0,0,0,9.41,2.35,0,4.12,1.76,1.18,14.12,3.53,0.59,20.59,3.53,10,7.06,0.59,1.18,1.18,0,0,0,0,0,0,0,0,0,4.71,4.12,0,0,0,0,0,0,0,0.59,0,0
1a,25,control,"I had a friend who I considered one of my closest friends. We knew each other for over 3 years and have been through a lot together. Recently, she just randomly ghosted me and stopped talking to me. I tried to reach out to her multiple times but she's ignored all my calls and messages. It's been a few months now.",61,38.49,68.85,92.18,7.09,12.2,21.31,96.72,57.38,22.95,18.03,11.48,1.64,0,4.92,0,4.92,4.92,13.11,9.84,3.28,6.56,0,19.67,4.92,3.28,1.64,3.28,8.2,1.64,0,1.64,0,0,0,18.03,0,3.28,4.92,0,11.48,3.28,0,0,3.28,1.64,3.28,0,0,0,0,0,0,0,0,0,13.11,8.2,1.64,1.64,0,1.64,11.48,6.56,0,16.39,0,6.56,9.84,0,0,0,0,0,1.64,0,0,0,0,0,0,13.11,8.2,1.64,0,0,0,0,0,0,3.28,0,0
1a,26,control,"I don't usually have too many conflicts with people. I try to stay positive and loving towards everyone. But there was this guy that I played soccer with. He and I started as friends. However, perhaps he got jealous of me, or I got jealous of him and we started a large argument. This argument lasted a long time and stemmed from a girl that we were both interested in. Now the conflict has been resolved. However, we got into a couple fights, and some nasty things were said to each other.",92,23.89,77.66,68.63,11.64,11.5,20.65,96.74,60.87,20.65,13.04,6.52,3.26,0,3.26,0,7.61,5.43,11.96,7.61,7.61,10.87,1.09,17.39,3.26,1.09,0,0,5.43,11.96,5.43,6.52,0,6.52,0,17.39,0,2.17,1.09,4.35,13.04,1.09,0,0,5.43,2.17,5.43,1.09,0,1.09,0,0,0,0,0,0,13.04,5.43,2.17,1.09,4.35,0,11.96,6.52,0,14.13,1.09,7.61,6.52,0,2.17,0,0,0,0,0,0,0,0,0,0,14.13,8.7,4.35,0,0,0,0,0,0,1.09,0,0
1a,32,control,"The year before last year, I go to Japan with my friend. In the middle of trip, we start to argue my opinion if it is right or in reason. I foucus on argument and completely forget to eat until the night. After this argue,I still feel very angry for my friend. I still keep the emotion in the trip and feel every small action she did is wrong. So for next night I cannnot stand and call my mother to talk with these things. My friend heard that and we start another argue. Even I had a thought that I want to leave her now and in next part of trip we divide. She cried and I feel it not real for me.It like I see another person who I did't know.",135,49.31,55.89,99,1,15,5.93,94.81,59.26,24.44,16.3,11.85,2.22,0,2.22,0,8.15,4.44,15.56,2.96,5.19,7.41,0.74,14.81,5.93,2.96,0.74,0,2.96,5.93,0,5.19,0,3.7,0.74,14.07,0.74,2.22,2.96,0,9.63,4.44,0.74,1.48,2.22,1.48,2.22,3.7,0.74,0.74,2.22,0.74,0,0,0,0.74,5.93,4.44,0,0.74,0,0.74,2.96,12.59,0,21.48,4.44,5.93,11.11,0,0,0,0,0,0,0,0,0,0,0,0,10.37,7.41,2.22,0,0,0,0,0,0,0.74,0,0
1a,33,control,"One time I got into a heated argument with my co-worker. I was done with my shift and ready to leave when he called me out for making a mistake. However, he said it in front of my other coworkers and I was extremely embarrassed. I thought he was so inconsiderate for not having a decency to not make a huge scene. So I raised my voice and called him out for being a smart-ass and always trying to prove that he's the best at everything when in fact he's not. The argument went back and forth and it was really pointless. I decided to stop talking and left because I did know when we would actually stop arguing. It was not fun and I really feel uncomfortable thinking about it every-time because I acted so unprofessional.",139,13.45,25.86,92.16,8.56,17.38,15.83,93.53,63.31,20.14,15.11,10.07,0.72,0,4.32,0,5.04,5.04,12.23,8.63,9.35,12.23,2.88,20.14,2.88,0.72,2.16,0.72,0.72,7.19,2.88,4.32,1.44,2.16,0,12.95,0,0,0,4.32,19.42,4.32,2.88,1.44,0.72,4.32,6.47,2.16,0,1.44,0.72,0.72,0.72,0,0,0,5.04,0.72,1.44,1.44,1.44,1.44,10.07,4.32,0,14.39,1.44,7.19,6.47,1.44,0.72,0,0,0,0,0.72,0.72,0,0,0,0,10.07,5.76,0.72,0,0,0,0,2.16,0,1.44,0,0
1a,39,control,"My brother and I have always had a rocky relationship, and we got in a lot of fights as children. When I was in elementary school, I used to be a big fan of model boats. I built dozens of them, and would spend hours putting them together. One day after school, my brother (who was 4 years older than me) was upset at something that happened at school. Naturally, being the little brother that I was, thought it was funny to provoke him and make him more angry. However I pushed him just quite too far and sent him into a rage. He through a model I had a been working on across the room and shattered it, then went up to his own room. I started crying and told my parents, who talked to him about it. He soon apologized for throwing the model but I did not forgive him as I knew he was just saying that because our parents told him to. We still have a rocky relationship to this day, but it has gotten better. This is just one of many instances I remember of us clashing heads.",193,34.96,83.76,58.43,12.14,17.55,14.51,92.75,60.62,22.8,16.58,7.77,2.07,0,5.7,1.04,6.22,5.18,13.47,8.81,4.66,7.77,0.52,18.65,6.22,3.63,1.55,2.07,1.55,4.15,1.55,2.59,0.52,1.55,0.52,18.65,2.59,0,0,7.25,9.33,2.07,2.07,0.52,1.55,0.52,2.59,0.52,0,0.52,0,0.52,0.52,0,0,0,10.36,6.22,1.04,2.07,1.55,0,11.4,3.63,1.04,16.06,2.07,7.25,6.74,2.59,0,1.04,0.52,0,0,0,0,0,0,0,0,11.4,5.7,4.66,0,0,0,0,0,0,0,1.04,0
1a,45,control,"I have had conflict with my roommate because we have different social boundaries. She is a part of a sorority. She likes to have her sorority sisters over. They are loud, drink more than I do. I generally I feel that our values do not align although I believe they are all fine and good people. There was conflict when my other roommates and I asked her to give us warning before they come to our house. After this short and calm discussion she was very mad. She did not communicate her anger, but did ignore be for 2 weeks and made no effort to talk to be outside of necessary communication. She basically gave me the silent treatment. Eventually we worked through it, but it still hurt me and changed how comfortable I feel with her.",137,11.62,84.66,36.81,38.77,13.7,18.25,95.62,63.5,24.09,20.44,8.03,3.65,0,6.57,2.19,3.65,2.19,11.68,10.95,5.84,8.03,2.19,19.71,7.3,3.65,1.46,0.73,2.19,8.03,4.38,3.65,0,1.46,0.73,22.63,0.73,1.46,8.76,0,13.14,2.19,2.92,0,0.73,1.46,5.84,3.65,0,1.46,2.19,0.73,0,0,0,0.73,13.14,9.49,1.46,0.73,0.73,0.73,7.3,13.14,0.73,9.49,1.46,3.65,4.38,1.46,0.73,2.19,0,0,0,0,0,0,0,0,0,9.49,7.3,2.19,0,0,0,0,0,0,0,0,0
